"AU_scale";"AU";"Area_km2";"Substance";"Type";"Matrix";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.046595862;"H";3;7;"M";"M";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"CS-137";"Rad";"Water";1.791111111;"H";1;1;"M";"H";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"CS-137";"Rad";"Biota";2.2607;"H";2;2;"M";"M";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"CS-137";"Rad";"Biota";1.55357;"H";2;2;"M";"H";"M"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"HG";"HM";"Biota";9;"H";3;3;"M";"L";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"PFOS";"Org";"Biota";0.159340659;"H";3;7;"M";"H";"H"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SBD6";"Org";"Biota";144.478281;"H";2;2;"M";"M";"L"
3;"Bothnian Sea Finnish Coastal waters";3518.72901725;"SCB6";"Org";"Biota";0.128826263;"H";2;2;"M";"M";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HBCD";"Org";"Biota";0.00141145;"H";3;3;"M";"H";"H"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HG";"HM";"Biota";1.648867702;"H";3;3;"M";"H";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PB";"HM";"Biota";0.309496884;"H";3;3;"M";"M";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PFOS";"Org";"Biota";0.047721884;"H";3;3;"M";"L";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SBD6";"Org";"Biota";26.5359232;"H";3;3;"M";"H";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SCB6";"Org";"Biota";0.084699914;"H";3;3;"M";"M";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SDX";"Org";"Biota";0.245511807;"H";3;3;"M";"M";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HBCD";"Org";"Biota";0.001873652;"H";3;3;"M";"H";"H"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HG";"HM";"Biota";0.719597281;"H";3;3;"M";"H";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PB";"HM";"Biota";0.334519142;"H";3;3;"M";"L";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PFOS";"Org";"Biota";0.029678074;"H";3;3;"M";"L";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SBD6";"Org";"Biota";54.33258897;"H";3;3;"M";"H";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SCB6";"Org";"Biota";0.076121543;"H";3;3;"M";"M";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"SDX";"Org";"Biota";0.287291378;"H";3;3;"M";"H";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HBCD";"Org";"Biota";0.001462814;"H";3;3;"M";"M";"L"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"HG";"HM";"Biota";0.90322766;"H";3;3;"M";"M";"M"
3;"Bothnian Sea Swedish Coastal waters";6252.65935355;"PB";"HM";"Biota";0.217843391;"H";3;3;"M";"L";"M"
