"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"Nidingen";11.9;57.3;"Biota";"CD";"HM";1.471485183;"All";"+";"H";"H";"All"
"Nidingen";11.9;57.3;"Biota";"FLU";"Org";0.020432417;"All";"+";"H";"H";"All"
"Nidingen";11.9;57.3;"Biota";"HG";"HM";0.336651773;"All";"+";"H";"H";"All"
"Nidingen";11.9;57.3;"Biota";"PB";"HM";0.36643356;"All";"+";"H";"H";"All"
"NORM-Als-Camp";10.30167;56.75;"Biota";"BAP";"Org";0.268;"All";"+";"H";"H";"All"
"NORM-Als-Camp";10.30167;56.75;"Biota";"CD";"HM";2.915909091;"All";"+";"H";"H";"All"
"NORM-Als-Camp";10.30167;56.75;"Biota";"FLU";"Org";0.245333333;"All";"+";"H";"H";"All"
"NORM-Als-Camp";10.30167;56.75;"Biota";"HG";"HM";3.90032;"All";"+";"H";"H";"All"
"NORM-Als-Camp";10.30167;56.75;"Biota";"PB";"HM";3.17471759;"All";"+";"H";"H";"All"
"NORM-Asaa";10.455;57.17667;"Sediment";"ANT";"Org";1.157407407;"All";"+";"H";"H";"All"
"NORM-Asaa";10.455;57.17667;"Biota";"BAP";"Org";0.196;"All";"+";"H";"H";"All"
"NORM-Asaa";10.455;57.17667;"Biota";"CD";"HM";1.001078089;"All";"+";"H";"H";"All"
"NORM-Asaa";10.455;57.17667;"Biota";"FLU";"Org";0.166;"All";"+";"H";"H";"All"
"NORM-Asaa";10.455;57.17667;"Biota";"HG";"HM";1.35235;"All";"+";"H";"H";"All"
"NORM-Asaa";10.455;57.17667;"Biota";"PB";"HM";0.865088757;"All";"+";"H";"H";"All"
"NORM-Damsted";10.5585;57.707;"Biota";"BAP";"Org";0.628;"All";"+";"H";"H";"All"
"NORM-Damsted";10.5585;57.707;"Biota";"FLU";"Org";0.255333333;"All";"+";"H";"H";"All"
"NORM-DokkedalM";10.27073;56.90607;"Sediment";"ANT";"Org";0.860507246;"All";"+";"H";"H";"All"
"NORM-DokkedalM";10.27073;56.90607;"Biota";"BAP";"Org";0.142161078;"All";"+";"H";"H";"All"
"NORM-DokkedalM";10.27073;56.90607;"Biota";"CD";"HM";0.835134605;"All";"+";"H";"H";"All"
"NORM-DokkedalM";10.27073;56.90607;"Biota";"FLU";"Org";0.106702077;"All";"+";"H";"H";"All"
"NORM-DokkedalM";10.27073;56.90607;"Biota";"HG";"HM";0.709437568;"All";"+";"H";"H";"All"
"NORM-DokkedalM";10.27073;56.90607;"Biota";"PB";"HM";1.116056575;"All";"+";"H";"H";"All"
"NORM-Hadsundoest";10.12733;56.71683;"Biota";"BAP";"Org";0.188;"All";"+";"H";"H";"All"
